pl_name,hostname,disc_year,discoverymethod,disc_facility
"""Kepler-1849 b""","""Kepler-1849""",2021,"""Transit""","""Kepler"""
"""Kepler-1821 b""","""Kepler-1821""",2021,"""Transit""","""Kepler"""
"""Kepler-1914 b""","""Kepler-1914""",2021,"""Transit""","""Kepler"""
"""Kepler-1311 b""","""Kepler-1311""",2016,"""Transit""","""Kepler"""
"""Kepler-1600 c""","""Kepler-1600""",2021,"""Transit""","""Kepler"""
"""Kepler-783 b""","""Kepler-783""",2016,"""Transit""","""Kepler"""
"""Kepler-1694 b""","""Kepler-1694""",2020,"""Transit""","""Kepler"""
"""Kepler-1740 b""","""Kepler-1740""",2021,"""Transit""","""Kepler"""
"""HAT-P-8 b""","""HAT-P-8""",2008,"""Transit""","""HATNet"""
"""HAT-P-40 b""","""HAT-P-40""",2012,"""Transit""","""HATNet"""
"""WASP-21 b""","""WASP-21""",2010,"""Transit""","""SuperWASP"""
"""WASP-1 b""","""WASP-1""",2007,"""Transit""","""SuperWASP"""
"""WASP-2 b""","""WASP-2""",2007,"""Transit""","""SuperWASP"""
"""HD 38801 b""","""HD 38801""",2009,"""Radial Velocity""","""Subaru Telescope"""
"""HD 88133 b""","""HD 88133""",2004,"""Radial Velocity""","""W. M. Keck Observatory"""
"""HD 75289 b""","""HD 75289""",1999,"""Radial Velocity""","""La Silla Observatory"""
"""HD 219828 b""","""HD 219828""",2007,"""Radial Velocity""","""La Silla Observatory"""
"""HD 2039 b""","""HD 2039""",2002,"""Radial Velocity""","""Anglo-Australian Telescope"""
"""HD 76700 b""","""HD 76700""",2002,"""Radial Velocity""","""Anglo-Australian Telescope"""
"""GJ 674 b""","""GJ 674""",2007,"""Radial Velocity""","""La Silla Observatory"""
"""Kepler-49 c""","""Kepler-49""",2012,"""Transit""","""Kepler"""
"""Kepler-49 e""","""Kepler-49""",2014,"""Transit""","""Kepler"""
"""HD 102117 b""","""HD 102117""",2005,"""Radial Velocity""","""La Silla Observatory"""
"""HIP 14810 b""","""HIP 14810""",2005,"""Radial Velocity""","""W. M. Keck Observatory"""
"""HD 185269 b""","""HD 185269""",2006,"""Radial Velocity""","""Lick Observatory"""
"""Kepler-49 d""","""Kepler-49""",2014,"""Transit""","""Kepler"""
"""Kepler-49 c""","""Kepler-49""",2012,"""Transit""","""Kepler"""
"""Kepler-49 d""","""Kepler-49""",2014,"""Transit""","""Kepler"""
"""Kepler-49 e""","""Kepler-49""",2014,"""Transit""","""Kepler"""
"""Kepler-49 b""","""Kepler-49""",2012,"""Transit""","""Kepler"""
"""Kepler-49 c""","""Kepler-49""",2012,"""Transit""","""Kepler"""
"""HD 141937 b""","""HD 141937""",2002,"""Radial Velocity""","""La Silla Observatory"""
"""Kepler-49 d""","""Kepler-49""",2014,"""Transit""","""Kepler"""
"""Kepler-49 b""","""Kepler-49""",2012,"""Transit""","""Kepler"""
"""KMT-2018-BLG-1743L b""","""KMT-2018-BLG-1743L""",2021,"""Microlensing""","""KMTNet"""
"""HN Peg b""","""HN Peg""",2006,"""Imaging""","""Spitzer Space Telescope"""
"""KMT-2018-BLG-1743L b""","""KMT-2018-BLG-1743L""",2021,"""Microlensing""","""KMTNet"""
